Port_ID,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,score,rank
4035430878731345664,0.0005098173239919923,-241.45000006,-0.09360389724444061,-0.006653709881227011,0.4782608695652174,22,46,-44.859461999051334,144.0
3983074113875692800,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3981810242465907713,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3788465932399412480,0.001688743251928532,2447.51502987,0.19472763953183575,-0.009258760712956615,0.43636363636363634,168,385,517.2377773663358,90.0
4023697433751327232,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4029506971304830209,0.0009833446116637597,430.08779992999996,0.06781069509230933,-0.006653709881227011,0.3872832369942196,67,173,98.07137785961645,116.0
3977234346014419201,0.0015015839751925017,2996.4473198,0.15464625995177983,-0.04933657397658827,0.4015151515151515,212,528,636.3707123587321,81.0
3995532094997544704,0.0014663354592795452,3057.61731973,0.14989181115037453,-0.04933657397658827,0.4349315068493151,254,584,653.5070960408023,75.0
4037785885739608577,0.00016207941864208539,-276.76000000000005,-0.13492260040172033,-0.006653709881227011,0.3103448275862069,9,29,-53.446586879461755,147.0
3957509601040585217,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4028427053699127040,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4037121179310444801,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3941019213896463617,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4041860229502600193,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3988071780777702657,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4034359562055356161,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3939925275039085824,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4031493134338259457,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3977116548751698176,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4008537296438699777,0.0006307466586697812,-2.1100000600000195,-0.0008131032285237268,-0.006653709881227011,0.44047619047619047,37,84,5.673341877709889,130.0
3936410995029308417,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4033614723417828608,0.0010533951479493628,348.53999992999996,0.0707962511907367,-0.006653709881227011,0.42452830188679247,45,106,77.31615348743266,123.5
4037282461943784704,0.0005329908387189011,-241.45000006,-0.09567076240049086,-0.006653709881227011,0.5,22,44,-44.95769682433611,145.0
4012994295026226176,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3960874214179953664,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4040843843196854529,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3991414786174551297,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3932103299427844097,0.0017249782442970937,2427.51776987,0.19656784821345308,-0.009258760712956615,0.4274193548387097,159,372,512.137806226918,91.0
3966142151544441601,0.001936229554814889,2075.53100989,0.1913692119829873,-0.006653709881227011,0.4519230769230769,141,312,437.8413861159762,98.0
3910887259807777281,0.0015079012012276076,3739.34731972,0.15894657172777193,-0.04933657397658827,0.44396551724137934,309,696,798.2058187051053,64.0
3887577207880438784,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4037179073830813185,0.0015647140968974359,3596.11731972,0.15884289478758645,-0.04933657397658827,0.4418960244648318,289,654,766.4596023830189,67.0
4021243448368889856,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4004410127575640832,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4006366295148391425,0.0013962587459792522,1550.03776992,0.15737888057096353,-0.006653709881227011,0.41947565543071164,112,267,329.03258731938274,102.0
3939318616482048768,0.0010103662761500765,445.07999993,0.07628331182998903,-0.006653709881227011,0.38513513513513514,57,148,99.32130297711097,112.5
4000877324693233921,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3879821005658659073,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3993014919980212480,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4030626027667524352,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4037073643537925121,0.0014634723591870125,3049.97859973,0.15043746213314113,-0.04933657397658827,0.43154246100519933,249,577,651.3791216937943,76.0
3944658614777849089,0.0014432140146156105,2764.59731981,0.14708884354213148,-0.04933657397658827,0.38976377952755903,198,508,588.2980140662594,85.0
4020204877254599680,9.541990398840657e-05,-277.0181,-0.13739478302840943,-0.006653709881227011,0.2857142857142857,8,28,-53.601177702077216,148.0
3819545518395756033,0.0015480521814068573,3658.55731972,0.15811213285088543,-0.04933657397658827,0.44868035190615835,306,682,781.1981313309924,66.0
3931992636670880512,0.00149937835987411,3004.32274478,0.15386770660913068,-0.04933657397658827,0.41044776119402987,220,536,638.7465344639086,79.0
4022641794255717633,0.0017306768436654546,2720.33231983,0.20469545809386447,-0.009258760712956615,0.44050632911392407,174,395,572.6036515780415,89.0
3672754654734989568,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4022565861939831809,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3942630767220672256,0.0015802529566669016,3550.11731973,0.16009829335257772,-0.04933657397658827,0.4410828025477707,277,628,755.3597752503119,69.0
4027747397961573889,0.0017723338446242643,2272.04776987,0.19166630146480765,-0.009258760712956615,0.4373259052924791,157,359,480.2938260437338,93.0
3786761687746711808,0.001874857802362524,1890.69776992,0.18089546952984897,-0.006653709881227011,0.4440677966101695,131,295,399.5218455711037,100.0
3999845462424248576,0.0015010263289840882,3002.7854697899998,0.15467734761442783,-0.04933657397658827,0.4037735849056604,214,530,637.8385743060746,80.0
4032403303704824321,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
4035034554469394176,0.0013746630562858312,1389.03776992,0.14558250876341847,-0.006653709881227011,0.4150197628458498,105,253,295.77977813662477,104.0
3944088772635000577,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3946087913459823360,0.0014967122318453171,3011.77031976,0.152801182283452,-0.04933657397658827,0.42124542124542125,230,546,641.2369153878229,78.0
4004713168329653760,0.0014595987162171812,3040.09731973,0.15061504089459934,-0.04933657397658827,0.42832167832167833,245,572,648.9525783565498,77.0
3930688517098515713,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3949329502284748801,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3784403294629753856,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3977078013600312321,0.0014865428272725423,3739.34731972,0.15778587776583422,-0.04933657397658827,0.4376770538243626,309,706,798.7049534482965,63.0
4013955990069013504,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3951723256343550465,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
3858510226868015873,0.0005118416195620486,-243.04903863,-0.09740385396868892,-0.006653709881227011,0.4883720930232558,21,43,-45.379018177191256,146.0
4030708912786799105,0.0005268718987810986,-99.79000006000001,-0.030504481580387693,-0.006653709881227011,0.39436619718309857,28,71,-14.973228172241768,137.0
4030635536196756737,0.0010459129444223305,564.68202992,0.0816224603639928,-0.006653709881227011,0.40404040404040403,80,198,126.89467444104199,111.0
4030392204221219329,0.0016636751658210675,3250.89231977,0.21939265073985198,-0.009258760712956615,0.420824295010846,194,461,683.0166094008248,72.0
4008711265867865600,0.0010937096167358573,387.53999992999996,0.07328920209616524,-0.006653709881227011,0.4180327868852459,51,122,86.21601058900734,118.5
3962024093501274881,0.0015579336494418515,3778.54731972,0.1617740746365416,-0.04933657397658827,0.4491279069767442,309,688,805.6469104511503,1.0
4039279455324236544,0.0012333699923841193,828.10776992,0.10922927860151652,-0.006653709881227011,0.42857142857142855,99,231,182.18783439855216,107.0
4029507714735307777,0.0008883853487003932,283.83499994,0.058688617959384,-0.006653709881227011,0.4077669902912621,42,103,64.071022829667,125.0
4031408429897920512,0.0004424829604458801,-241.45000006,-0.08730542241077208,-0.006653709881227011,0.41509433962264153,22,53,-44.514532423951565,143.0
4016164457907769600,0.0004342888315487342,-241.45000006,-0.08650604094668916,-0.006653709881227011,0.4074074074074074,22,54,-44.46514287970604,142.0
3919965573764932864,0.0014752551269414148,3742.68731972,0.1572444607425406,-0.04933657397658827,0.4353932584269663,310,712,799.7226145278121,32.0
